"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 26 17:54:08 CST 2025","Wed Feb 26 17:54:09 CST 2025","461","testcases.storeGroup","test_storeGroup","Test_storeGroup","","","test_findStoreGroup","自动报货门店组查询接口"
"passed","Wed Feb 26 17:54:08 CST 2025","Wed Feb 26 17:54:08 CST 2025","176","testcases.storeGroup","test_SendReq","Test_send_request","","","test_start",""
